	SRR8134496	SRR8134484	SRR8134499	SRR8134480	SRR8134485	SRR8134483	SRR8134482	SRR8134481	SRR8134500	SRR8134497	SRR8134501	SRR8134498
FBXO42	1078	175	772	290	397	466	247	417	1063	830	956	778
ENSG00000287586	0	2	0	4	11	5	1	11	1	0	0	0
ALDH4A1	1253	77	839	100	147	126	69	166	1178	870	626	1212
ENSG00000227169	0	0	0	0	0	0	0	3	0	0	0	0
ENSG00000283356	0	0	0	0	0	0	0	0	0	0	0	0
RER1	3422	33	1343	53	86	93	56	65	3454	1905	1797	2161
PANK4	967	137	391	137	202	167	92	148	1012	674	577	629
ERRFI1-DT	0	10	0	14	37	30	10	15	0	0	0	0
ENSG00000225387	0	2	0	1	1	2	2	0	0	0	0	0
VPS13D	1104	124	446	194	307	202	61	185	1100	596	648	808
RPL10P17	0	1	0	1	1	0	2	3	0	0	0	0
RBP7	0	1	0	0	2	1	2	2	0	0	0	0
ENSG00000279625	0	3	0	2	2	5	3	2	0	0	0	0
GPR157	213	51	177	67	126	103	43	86	218	199	330	129
ZBTB40	1750	47	634	69	153	119	74	92	1699	872	870	1344
ENSG00000288398	82	7	56	4	16	7	8	7	98	69	66	70
ENSG00000224621	0	0	1	2	2	9	0	2	1	0	0	0
ENSG00000285833	0	0	0	0	3	1	1	0	0	0	0	0
NPHP4	358	38	295	24	50	55	34	39	409	323	343	280
ENSG00000284692	0	4	0	7	12	2	0	0	0	0	0	0
ENSG00000284745	0	2	0	0	5	9	1	2	0	0	0	0
ENSG00000280222	0	12	0	7	14	15	3	9	0	0	0	0
ENSG00000285945	0	0	0	1	0	1	2	0	0	0	0	0
HES5	0	9	3	16	42	35	16	6	5	2	10	2
ENSG00000233755	1	5	0	4	12	7	4	12	0	0	0	0
MT1XP1	6	0	2	0	6	1	1	0	8	4	7	3
ARHGEF19-AS1	0	0	0	0	0	0	0	0	0	0	0	0
DYNLL1P3	11	0	0	0	0	0	0	0	6	0	1	6
SZRD1	6598	300	3173	368	747	582	232	474	7359	4004	4286	5046
PDIK1L	265	174	157	253	375	326	194	322	252	221	219	173
IGSF21-AS1	0	2	0	0	1	5	1	2	0	0	0	0
ENSG00000225643	7	2	1	4	2	3	0	3	6	1	2	5
ENSG00000284666	0	0	0	0	3	0	0	1	0	0	0	0
ENSG00000228943	0	1	0	1	3	5	2	2	0	0	0	0
PPIAP34	19	1	1	1	2	2	0	0	17	3	3	14
ENSG00000284309	0	1	0	0	2	1	0	1	0	0	0	0
LAPTM5	33861	248	13463	366	686	585	211	591	35274	25373	22793	16816
SLC30A2	0	12	1	5	12	12	3	4	2	0	0	0
PHACTR4	1325	128	642	219	297	289	156	308	1200	886	784	869
IFITM3P7	0	0	0	4	3	2	1	2	0	0	0	0
ENSG00000235263	0	4	0	1	2	8	5	2	0	0	0	0
ENSG00000228176	0	24	0	24	62	32	10	39	0	0	0	0
ENSG00000231251	0	0	0	0	0	0	0	0	0	0	0	0
CNKSR1	83	16	49	31	33	37	16	43	104	74	105	29
FAM110D	0	9	1	7	13	12	10	10	0	0	0	0
MED18	747	83	431	131	191	145	60	157	802	564	600	594
EEF1A1P46	141	22	16	20	37	15	6	15	128	11	14	91
ENSG00000271398	1	37	6	55	133	66	39	91	2	1	0	0
ENSG00000225011	0	1	0	2	2	1	0	0	0	0	0	0
ENSG00000235069	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284676	0	3	0	7	7	4	3	3	0	0	0	0
MMEL1-AS1	1	0	0	2	1	1	1	0	1	0	1	0
LINC01648	0	4	0	4	6	1	2	6	0	0	0	0
SLC9A1	959	172	564	219	486	264	169	296	1071	878	794	658
LDLRAP1	1464	79	437	147	167	148	77	155	1534	1071	593	945
ATP5IF1	3808	381	1696	585	875	677	387	734	4016	2125	2023	2575
ENSG00000229044	0	1	0	1	2	0	0	3	0	0	0	0
SDC3	30	16	12	15	29	42	9	25	32	42	35	12
PAFAH2	409	67	155	84	156	126	63	144	504	283	201	319
ARL8BP2	12	3	2	3	2	5	1	3	11	10	4	3
DNAJC8	3653	228	1585	281	549	393	189	385	3931	1933	1974	2834
ENSG00000229447	10	2	2	0	4	6	0	4	7	2	7	6
ENSG00000229607	0	2	0	0	1	2	0	0	0	0	0	0
SESN2	1935	76	1266	93	109	110	48	101	1953	1687	1791	1442
SERINC2	857	32	306	60	53	50	19	43	577	897	628	224
AJAP1	0	16	2	16	69	38	11	31	2	1	7	0
PTAFR	668	389	419	447	948	290	124	675	1166	774	1251	260
NKAIN1	2	8	0	3	9	6	4	6	1	0	0	2
SNRNP40	2820	70	1099	116	143	100	75	133	3276	1524	1341	2208
SLC25A33	327	36	139	35	76	64	26	81	355	228	168	238
ENSG00000270927	0	0	0	0	1	0	1	0	0	0	0	0
GJB3	0	0	0	1	11	8	2	4	4	0	0	0
LINC01756	0	4	0	11	2	10	3	1	0	0	0	0
EYA3	1509	79	669	106	200	164	53	125	1584	999	1058	879
ZNF593	0	0	0	0	0	0	0	0	0	0	0	0
FABP3	122	8	124	12	23	22	2	12	134	126	162	86
EPHA2	21	10	15	17	14	10	2	8	7	19	37	10
LINC02780	0	1	0	0	3	8	0	4	0	0	0	0
ENSG00000233234	0	0	0	0	0	0	0	3	0	0	0	0
ARHGEF19	124	34	79	54	95	75	35	90	147	127	114	70
KAZN-AS1	0	10	0	3	6	6	5	11	0	0	4	0
ENSG00000270605	57	55	55	75	121	127	64	115	68	65	59	30
KAZN	48	23	30	36	51	60	21	34	79	12	31	41
ENSG00000235143	0	5	0	11	9	4	6	6	0	0	0	0
ENSG00000225478	0	0	0	0	1	0	0	0	0	0	0	0
TNFRSF1B	3155	72	2428	84	211	177	60	114	3733	3373	3334	2171
TMEM51-AS2	0	5	0	2	12	24	10	14	0	0	0	0
ENSG00000233372	0	2	0	0	1	1	0	1	0	0	0	0
ENSG00000283259	0	3	0	1	1	0	0	3	0	1	0	0
LINC01226	208	51	112	60	81	41	20	57	148	170	197	63
UBE4B	1741	189	921	234	396	349	182	265	1980	1077	1151	1372
TMEM51-AS1	0	15	0	28	64	74	39	27	0	0	0	0
PLA2G5	2	8	4	3	23	18	12	12	0	0	3	0
PTPRU	17	5	14	15	19	25	5	17	33	27	74	14
ZMYM6	296	195	259	285	377	314	189	355	250	218	318	152
ENSG00000232768	0	1	0	2	4	5	2	0	0	1	3	0
FTLP18	0	0	0	0	5	0	0	0	0	0	0	0
GJB5	2	2	0	0	3	4	1	0	2	1	1	2
AGO4	426	52	311	43	71	65	28	62	365	335	329	263
ENSG00000272420	3	0	10	3	2	0	1	4	1	0	8	1
CPLANE2	93	73	66	109	164	121	69	123	73	89	140	49
ZBTB8B	2	22	1	43	51	43	23	53	2	0	0	1
LINC02810	0	2	0	4	3	2	1	4	0	0	0	1
FTH1P1	1	2	1	2	0	3	1	2	4	3	0	6
PAX7	0	5	0	7	15	15	6	19	0	0	0	0
ENSG00000287396	0	1	0	0	1	1	0	0	0	0	0	0
EXTL1	1	35	0	46	64	58	24	44	1	0	0	0
CASZ1	267	19	148	30	36	23	13	31	259	176	161	210
DNALI1	4	6	0	21	37	46	17	18	1	1	3	4
ENSG00000227527	9	45	3	63	75	91	42	93	4	1	7	2
RRAGC	494	57	256	142	127	154	55	190	376	323	302	301
SPCS2P4	462	2	186	1	3	3	0	4	389	275	290	255
GRIK3	1	17	2	23	17	35	6	20	0	0	0	0
PLA2G2D	2	3	3	8	13	22	12	6	7	1	1	1
ENSG00000230163	0	0	0	0	0	0	0	0	0	0	0	0
HNRNPFP1	0	2	0	2	0	2	4	7	0	0	0	0
GUCA2B	0	4	0	0	2	0	2	0	0	0	0	0
RCC2	5396	95	2921	112	177	193	82	179	6340	3627	3524	4582
HSPA5P1	29	6	17	2	6	5	5	3	51	11	28	18
ENSG00000284650	0	1	0	3	3	5	2	6	0	0	0	0
ENSG00000237329	0	11	0	8	34	18	8	7	0	0	0	0
ENSG00000236948	0	3	0	1	2	3	2	3	0	0	0	1
PSMB2	6928	46	2628	99	149	122	46	126	8143	3085	3019	5184
ENSG00000274944	0	6	0	16	29	17	4	21	0	0	4	1
ENSG00000272078	20	12	4	8	20	12	4	5	20	12	7	14
RPS29P6	0	1	0	0	0	0	0	0	1	0	0	0
ENSG00000231606	0	3	0	2	10	1	4	2	0	3	0	0
SELENOWP1	5	0	0	0	0	0	3	3	6	2	4	2
ENSG00000284632	0	10	0	9	9	15	12	12	1	2	0	1
GPR199P	11	2	3	5	4	0	2	2	6	0	2	9
THRAP3	6795	123	3008	158	222	243	95	204	6705	4075	3768	4664
ENSG00000254553	0	0	0	0	4	1	3	0	0	0	0	0
ENSG00000284653	0	3	0	4	5	8	2	4	0	0	0	0
RPS27P9	35	0	14	4	3	0	1	1	44	18	22	23
PADI6	0	2	0	9	18	18	3	7	0	0	0	3
ENSG00000284705	0	1	0	8	10	9	4	11	0	0	0	0
ENSG00000228776	0	0	0	0	1	1	0	3	0	0	0	0
PADI4	2	5	2	7	22	4	7	8	5	4	32	2
LINC01654	0	2	0	2	4	7	1	7	0	0	0	0
ENSG00000284743	0	1	0	0	6	1	0	0	0	0	0	0
RHBDL2	6	5	4	18	11	5	4	15	1	0	1	3
CFAP144	1	1	0	2	8	8	2	2	0	0	0	0
ZMYM4	1283	132	634	180	270	245	118	234	1146	746	752	765
ENSG00000271741	0	7	0	12	8	11	3	10	0	0	0	0
C1orf216	818	59	343	82	136	100	63	118	913	407	420	599
SHMT1P1	1	10	5	9	14	9	4	5	4	8	10	2
ACTL8	2	5	0	2	2	4	1	3	3	0	0	1
PHB1P12	5	6	3	5	8	5	7	8	3	3	1	4
RLF	798	178	537	206	348	292	140	270	578	684	716	416
ENSG00000284989	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231630	0	0	0	0	0	1	0	0	0	0	0	0
CLSPN	1082	101	448	141	245	178	79	181	987	747	562	617
ENSG00000255811	0	0	0	0	1	0	3	1	0	0	0	0
GNL2	2546	52	942	86	138	117	65	111	2497	1075	1050	1802
GJA4	2	3	2	5	5	6	6	2	1	0	2	0
RPL21P22	5	1	1	1	4	0	0	1	6	2	0	4
LINC02812	28	35	29	53	100	71	38	69	32	32	37	25
ENSG00000223390	0	1	0	3	3	2	4	4	1	0	1	0
ENSG00000284720	0	5	0	3	9	0	1	5	0	0	0	0
FCF1P6	3	2	5	2	1	2	1	4	5	6	5	4
MORN1	144	131	122	198	265	360	177	275	136	136	103	155
TTC22	24	34	29	52	78	49	29	52	85	47	117	30
RPL6P1	15	4	4	0	4	11	2	2	14	11	11	10
TIE1	62	23	210	21	24	15	12	19	156	77	146	217
MYCBP	952	59	350	92	117	112	51	97	733	458	393	526
DLGAP3	24	61	40	79	119	84	56	78	24	26	34	24
GOT2P1	0	0	0	4	5	1	2	1	0	0	0	0
ENSG00000236723	2	0	2	1	2	0	0	0	2	0	0	1
TMA16P2	5	1	2	0	9	6	0	1	6	3	0	4
RIMS3	126	63	133	44	104	76	39	64	281	77	132	140
RAB3B	7	21	11	41	40	49	20	70	11	3	7	20
SMIM12	1402	162	565	157	276	227	127	228	1538	814	872	949
MRPS6P2	0	1	0	1	5	0	0	2	0	0	0	0
ENSG00000232335	1	0	0	0	0	4	2	1	1	2	0	0
ENSG00000260971	0	33	0	10	32	33	15	15	0	0	0	0
LINC02808	0	4	0	7	14	17	3	4	0	0	0	0
LINC02778	0	2	0	5	4	10	1	2	0	0	0	0
ENSG00000285839	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232762	3	5	1	7	17	11	5	5	1	2	0	6
CZIB	816	209	449	244	500	318	181	353	825	547	602	591
FAM151A	0	4	0	5	15	10	7	7	0	0	0	2
OSBPL9	4197	216	1741	406	505	488	252	371	3488	2108	1952	2701
PHB1P3	52	2	9	10	13	11	0	8	57	21	16	35
C1orf210	0	1	0	4	7	2	3	5	0	0	0	0
PARS2	216	16	108	18	38	31	17	33	267	127	133	195
ENSG00000284686	0	2	0	1	0	1	0	5	0	0	0	1
ZYG11B	414	69	271	89	124	105	67	101	369	314	304	236
LINC01755	0	2	0	9	16	11	3	14	0	0	0	0
CZIB-DT	2	129	5	193	321	239	122	207	2	0	2	1
ST3GAL3-AS1	0	4	0	4	2	7	1	4	0	0	0	0
L1TD1	15	8	206	3	18	44	12	5	19	5	18	211
ENSG00000234318	0	0	0	0	0	0	1	6	0	0	0	0
ENSG00000284773	27	5	17	0	6	5	4	3	21	22	33	13
ENSG00000234481	0	1	0	5	2	2	0	0	0	0	0	0
TXNDC12	252	54	86	90	139	104	62	113	242	106	108	153
ENSG00000235612	0	0	0	0	0	2	1	0	0	0	0	0
TXNDC12-AS1	0	3	0	3	6	1	5	6	1	0	2	0
ENSG00000227485	0	0	0	0	0	0	0	1	0	0	0	0
FGGY-DT	5	174	4	164	401	269	127	201	17	2	2	8
DOCK7-DT	5	39	7	41	73	63	28	62	6	1	1	4
LAMTOR5P1	1	0	0	0	1	0	0	2	0	2	1	0
MTCO2P34	0	2	0	1	1	0	0	0	0	0	0	0
LINC01685	5	530	8	869	1408	1107	564	1296	5	9	6	3
PIGQP1	0	0	0	0	0	0	0	3	0	0	0	0
TTC4	78	72	34	90	119	90	49	92	103	34	34	60
KLF17	0	4	0	3	19	3	3	12	0	0	0	0
PLPP3	3	38	14	38	73	52	30	39	49	5	22	7
ENSG00000285079	0	4	0	9	22	9	6	11	0	0	0	0
SNIP1	665	58	383	100	137	126	66	103	767	529	506	416
RPS13P2	1782	3	302	0	0	6	0	4	1963	356	297	1230
ENSG00000224570	0	7	0	8	8	4	2	4	0	0	0	0
RPL23AP85	0	3	0	0	4	3	6	0	0	0	0	0
ENSG00000278967	0	9	0	11	15	4	11	13	0	0	0	0
CPT2	923	183	341	270	373	281	189	324	987	429	430	694
FOXJ3	2037	150	866	223	319	247	152	281	1719	1199	1089	1181
TUT4	776	125	658	125	259	229	134	218	740	601	736	619
GTF2F2P2	0	1	0	3	4	2	2	2	0	0	0	0
ENSG00000287703	0	2	0	1	1	8	0	1	0	0	0	0
KLF18	1	2	0	2	6	7	3	5	0	0	0	0
ENSG00000229032	0	2	0	1	3	0	0	0	2	0	0	0
ENSG00000229294	0	1	0	1	2	2	1	11	0	0	0	0
RPS15AP7	0	2	0	3	3	1	0	2	0	0	0	0
GAPDHP51	2	8	0	6	4	8	0	6	0	0	0	0
ENSG00000277397	0	1	0	5	3	4	2	3	1	1	0	0
LINC02791	0	3	0	3	3	7	0	8	0	0	0	0
MAGOH	1403	35	597	42	53	50	31	42	1410	812	722	936
DEPDC1-AS1	2	24	1	38	51	33	20	34	2	4	0	1
LINC01707	1	12	4	25	36	38	14	38	0	1	3	0
ENSG00000237227	0	2	0	0	0	1	0	0	0	0	0	1
ENSG00000275350	0	0	0	1	2	1	0	0	0	0	0	0
DLEU2L	11	4	11	9	19	17	3	26	12	12	13	11
CDKN2C	2115	439	821	624	842	724	409	716	1824	1668	1070	1148
ENSG00000285778	0	19	0	18	17	17	8	9	0	0	0	0
ENSG00000233407	0	2	0	1	0	1	0	1	0	0	0	0
LRP8-DT	4	1	9	1	5	9	1	4	12	7	17	15
ELOCP18	0	0	0	2	0	2	0	0	0	0	0	1
C1orf87	0	9	0	11	15	18	10	19	0	0	0	0
ENSG00000280317	0	0	0	0	1	2	0	0	0	0	0	0
ZSWIM5	9	57	11	58	111	89	51	62	14	20	7	17
OMA1	421	47	259	45	35	61	24	45	405	232	225	303
SLC35D1	1265	135	482	249	333	241	126	262	1185	699	543	771
LRP8	1675	227	784	319	514	553	328	420	1590	933	767	1288
TCEANC2	858	144	291	172	344	205	145	240	786	471	520	528
KTI12	238	73	108	103	155	129	65	154	276	149	147	156
LRRC42	1241	76	510	99	110	117	59	108	1403	650	707	907
PIGPP2	0	1	0	2	2	0	0	1	0	0	0	0
ENSG00000233099	0	3	0	4	6	2	2	0	0	0	0	0
GDI2P2	228	0	71	0	4	0	2	0	227	82	89	182
LINC01360	0	4	0	10	12	13	7	30	0	0	0	0
KANK4	0	25	2	24	62	44	16	26	1	0	0	0
ENSG00000227556	1	0	0	1	0	0	0	0	0	0	0	1
USP1	2063	185	834	271	390	265	202	343	1888	1212	1253	1125
ENSG00000285954	8	1	4	8	6	6	4	5	15	23	11	13
RNFT1P2	0	0	0	1	7	0	1	5	0	0	0	0
AK5	0	22	2	27	63	40	6	51	6	3	5	0
COX6A1P1	3	0	0	0	1	1	1	0	2	0	2	0
ADH5P2	1	1	2	5	7	3	4	3	7	2	3	0
TXNP2	0	0	0	0	1	3	0	0	0	0	0	0
RPL29P5	8	0	5	0	0	1	1	0	5	1	6	5
GIPC2	7	13	0	32	39	38	21	30	1	5	1	0
ENSG00000237852	1	0	0	1	3	2	0	8	0	2	2	0
RPE65	0	5	1	9	27	11	7	14	0	0	0	0
ANGPTL3	0	15	0	14	29	17	18	28	0	1	0	0
ENSG00000285407	1	5	0	7	6	12	4	2	0	0	0	0
ENSG00000270549	0	1	0	2	0	2	0	1	1	0	0	0
ENSG00000237163	0	1	0	4	0	1	0	4	0	0	0	0
KRT8P21	0	1	0	1	2	0	1	1	0	0	0	0
DNAJC6	65	12	15	22	34	31	17	30	85	25	46	37
AK4	1772	209	1617	307	472	358	150	407	1229	1790	2069	796
LEPROT	597	47	341	54	97	46	26	87	527	439	419	323
RPL31P12	7	1	3	0	0	0	0	0	4	1	0	1
LINC02796	0	3	0	8	2	3	3	5	0	0	0	0
NDUFS5P3	1	0	0	1	3	2	0	2	1	0	0	0
CACHD1	1	24	0	19	47	24	19	10	3	0	2	4
RPL13AP9	1	2	1	0	5	3	2	0	3	0	0	1
EFCAB7	176	76	66	60	115	107	53	123	138	88	105	93
LINC02238	0	0	0	1	0	1	0	3	0	0	0	0
ENSG00000233674	0	3	4	4	4	1	2	2	0	4	1	0
MCOLN2	4220	153	2443	228	482	329	189	282	4145	2136	2594	3329
ST6GALNAC5	12	13	0	28	31	18	5	24	2	4	1	0
ATG4C	331	61	207	65	142	72	46	103	288	198	218	149
ENSG00000285041	1	7	0	5	12	7	0	11	0	0	0	0
LINC02797	0	1	0	1	3	0	0	5	0	0	0	0
ENSG00000229440	0	1	0	0	2	0	0	0	0	0	0	0
COX6CP13	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000277670	0	2	0	0	0	2	0	0	0	0	0	0
PDE4B-AS1	0	2	0	2	0	2	0	1	0	0	0	0
ENSG00000230498	0	6	0	7	20	3	1	17	0	0	0	0
ENSG00000285782	0	4	0	2	3	4	2	3	0	0	0	0
ADGRL4	0	10	0	10	35	18	11	14	0	0	0	0
ENSG00000224493	0	0	0	3	0	2	1	1	0	0	0	0
GJA9	0	0	0	0	2	2	1	1	0	0	0	1
ENSG00000272371	0	4	0	0	4	6	3	9	0	0	0	0
ENSG00000287647	0	5	0	5	11	8	5	5	0	0	0	0
ENSG00000229225	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000230863	5	28	0	39	115	61	32	51	3	2	1	6
ENSG00000225598	0	1	0	3	1	1	2	4	0	0	0	0
ENSG00000286455	0	0	0	1	1	1	2	5	0	0	0	0
ENSG00000225087	0	3	0	3	15	6	2	12	0	0	1	0
ENSG00000280378	4	0	2	1	8	2	3	9	6	5	10	3
ENSG00000230053	0	2	0	1	4	0	0	2	0	0	0	0
TTLL7	7	21	18	31	61	48	30	42	10	3	15	21
ENSG00000224326	0	0	0	1	1	8	1	1	0	0	0	0
ENSG00000286548	1	47	0	41	79	86	41	40	6	0	3	2
KDM4A	737	61	288	93	95	118	91	121	763	396	407	600
ENSG00000272094	0	0	1	3	0	2	2	3	0	0	0	0
NEGR1-IT1	0	3	0	1	0	0	0	0	0	0	0	0
LINC02777	8	40	3	64	94	64	38	59	5	7	10	7
LDC1P	29	249	15	287	531	270	140	444	37	24	49	12
ENSG00000284895	0	0	0	0	0	0	0	0	0	0	0	0
ZNHIT6	868	151	477	209	301	283	158	235	693	453	464	554
MGC27382	0	4	0	2	10	13	4	15	0	0	0	0
MROH7	0	5	0	9	13	7	5	18	3	0	3	0
ENSG00000284645	0	12	0	7	14	9	3	3	0	0	0	0
LINC01763	0	8	0	6	16	15	11	12	0	0	0	0
ENSG00000288543	0	1	0	0	2	8	0	2	1	0	0	0
PTGFR	0	9	0	17	16	16	8	14	0	0	0	0
LINC02801	0	11	0	9	23	23	5	16	0	0	0	0
EEF1GP7	0	1	0	2	4	0	3	2	0	0	0	0
LMO4	1006	148	460	175	263	187	116	222	1176	720	833	572
RPL17P6	51	1	30	2	1	1	0	0	37	41	41	36
PRPF38A	2262	121	1058	190	279	254	137	264	2464	1345	1288	1636
PIGK	518	35	201	43	74	69	43	71	448	288	217	244
HNRNPA3P12	19	2	9	1	15	6	3	7	30	11	8	22
ENSG00000287743	0	14	0	20	30	53	13	20	0	2	0	0
PGBD4P8	0	1	0	0	0	2	1	1	0	0	0	0
MTND2P30	0	0	0	1	0	0	0	2	0	0	0	0
RPL7P10	3	0	0	0	7	2	0	1	4	0	0	2
PKN2-AS1	8	68	1	98	153	152	61	79	3	2	1	4
LINC02792	0	4	0	3	5	5	2	7	0	0	0	0
ENSG00000233216	1	0	0	0	0	0	0	0	2	0	0	1
GUCA2A	0	2	0	0	0	2	0	1	0	0	0	0
ENSG00000226804	0	4	0	15	17	31	8	12	0	0	0	0
ENSG00000230728	0	7	0	11	6	5	3	6	0	0	0	0
SLC25A6P3	0	2	0	0	2	0	2	2	0	0	0	0
PSAT1P3	5	1	4	4	1	4	2	5	5	7	3	8
DOCK7	737	204	357	241	454	336	158	348	639	425	437	414
ENSG00000237453	0	1	0	2	0	0	0	4	0	0	0	0
NEGR1	0	15	0	20	44	34	11	39	0	0	1	1
ENSG00000285473	0	2	0	1	4	2	1	4	0	0	0	0
RPL36AP10	0	0	0	0	0	0	0	0	0	0	0	0
LINC01712	0	1	0	8	13	7	9	9	0	0	0	0
ENSG00000234578	0	0	1	0	0	0	0	1	0	0	0	0
KYAT3	985	8	524	7	25	21	15	12	970	601	584	823
ENSG00000229505	0	1	0	0	7	3	0	2	0	0	0	0
ENSG00000228187	7	3	4	1	0	8	0	10	3	2	2	9
SHISAL2A	22	16	11	22	47	40	35	46	17	21	25	11
HMGB1P18	0	0	0	2	0	5	0	2	0	0	0	0
ENSG00000271949	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227062	0	0	0	0	0	0	1	4	0	0	0	0
DNTTIP2	1972	267	717	337	548	411	277	392	1700	821	831	1247
ENSG00000235011	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226938	0	1	0	1	0	1	0	2	0	0	0	1
HNRNPA1P64	3	0	4	0	0	4	0	2	3	1	0	2
ENSG00000287587	1	20	0	24	44	37	27	33	1	0	0	0
PTPRF	43	16	249	17	56	59	21	37	41	32	93	84
DHCR24	9469	98	4481	141	196	191	87	173	10737	5892	4657	7882
PHKA1P1	5	0	1	1	0	1	1	0	3	2	5	6
COL24A1	1099	26	234	56	76	78	47	60	477	629	277	442
GPX7	173	24	203	16	38	36	21	13	326	124	289	223
SLC44A3	0	4	0	6	12	14	5	18	0	0	0	0
LINC01362	0	3	0	9	4	7	3	4	0	0	0	0
PKN2	665	107	372	170	216	159	102	194	535	540	480	366
DAB1-AS1	0	11	0	10	26	13	5	9	0	0	0	0
MTCO1P21	0	1	0	0	1	2	1	0	0	0	0	0
ENSG00000234080	119	0	50	0	0	0	1	0	148	52	61	87
ENSG00000237899	4	2	1	3	8	9	2	2	3	7	3	0
LINC01364	0	2	0	2	10	2	3	2	0	0	0	0
ENSG00000282898	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000285409	0	3	0	0	4	0	0	3	0	0	0	0
MIR4422HG	0	9	0	20	22	12	6	14	0	0	1	0
ABCD3	913	73	358	97	138	101	60	132	813	504	393	534
MROH7-TTC4	0	3	0	1	12	12	6	7	0	0	0	0
ALG14	298	90	113	151	266	191	91	197	322	154	146	188
ZZZ3	1007	110	467	179	233	243	107	217	840	505	560	583
ENSG00000287724	1	7	0	11	21	10	8	13	0	1	0	0
YIPF1	807	67	275	125	146	107	56	107	839	505	420	550
ENSG00000225191	0	3	1	1	3	3	2	1	0	0	0	0
ENSG00000287870	0	2	0	2	0	7	1	2	0	0	0	0
HNRNPCP9	0	1	0	2	5	0	0	1	0	0	1	0
KATNBL1P2	0	3	0	1	0	0	7	0	0	0	0	0
ENSG00000273637	0	0	0	0	0	0	0	0	0	0	0	0
LDLRAD1	0	3	0	4	8	12	4	8	0	0	0	0
ENSG00000228838	3	1	0	2	6	6	2	3	2	2	2	2
ENSG00000283761	13	37	5	54	76	64	33	84	11	3	4	3
GJB4	0	1	0	2	2	2	0	0	0	0	0	0
ENSG00000230759	0	3	0	0	4	1	0	3	0	0	0	0
TMEM125	0	3	2	6	14	2	2	6	0	3	0	0
DMRTA2	0	8	4	3	5	12	6	11	1	0	1	1
ENSG00000285525	0	3	0	7	1	4	2	3	0	0	0	0
ENSG00000236098	1	1	0	6	0	2	1	3	0	0	0	1
ENSG00000233514	52	1	21	0	1	0	0	3	67	13	23	56
HIVEP3	273	63	672	59	113	130	57	72	360	454	832	369
ENSG00000266993	7	7	6	5	17	21	6	12	8	17	7	6
